大項名稱,大項代號,中項名稱,中項代號,中項圖片,商品小項名稱,商品小項價格,商品小項圖片,商品分類名稱,商品分類代號,商品小小項名稱,商品小小項價格,商品小小項圖片,商品小小項分類名稱,商品小小項分類代號
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X mur,835,Photoroom_20250406_221052 6.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X mur,835,Photoroom_20250406_221052 6.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sr,835,Photoroom_20250406_221052 13.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 13.jpg,PSA-黑殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sr,835,Photoroom_20250406_221052 13.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 13.jpg,PSA-金殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sr,835,Photoroom_20250406_221052 13.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 13.jpg,PSA-銀殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sr,835,Photoroom_20250406_221052 13.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sr,835,Photoroom_20250406_221052 13.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sr,835,Photoroom_20250406_221052 13.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,花舞鳥sar,835,Photoroom_20250406_221052 12.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 12.jpg,PSA-黑殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,花舞鳥sar,835,Photoroom_20250406_221052 12.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 12.jpg,PSA-金殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,花舞鳥sar,835,Photoroom_20250406_221052 12.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 12.jpg,PSA-銀殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,花舞鳥sar,835,Photoroom_20250406_221052 12.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,花舞鳥sar,835,Photoroom_20250406_221052 12.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,花舞鳥sar,835,Photoroom_20250406_221052 12.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sr,835,Lilliesdetermination sr psa.jpg,PSA-黑殼,,PSA-黑殼,835,Lilliesdetermination sr psa.jpg,PSA-黑殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sr,835,Lilliesdetermination sr psa.jpg,PSA-金殼,,PSA-金殼,835,Lilliesdetermination sr psa.jpg,PSA-金殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sr,835,Lilliesdetermination sr psa.jpg,PSA-銀殼,,PSA-銀殼,835,Lilliesdetermination sr psa.jpg,PSA-銀殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sr,835,Lilliesdetermination sr psa.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sr,835,Lilliesdetermination sr psa.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sr,835,Lilliesdetermination sr psa.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sar,835,Lilliesdetermination sar psa.jpg,PSA-黑殼,,PSA-黑殼,835,Lilliesdetermination sar psa.jpg,PSA-黑殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sar,835,Lilliesdetermination sar psa.jpg,PSA-金殼,,PSA-金殼,835,Lilliesdetermination sar psa.jpg,PSA-金殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sar,835,Lilliesdetermination sar psa.jpg,PSA-銀殼,,PSA-銀殼,835,Lilliesdetermination sar psa.jpg,PSA-銀殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sar,835,Lilliesdetermination sar psa.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sar,835,Lilliesdetermination sar psa.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,莉莉艾決意sar,835,Lilliesdetermination sar psa.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sr,835,Acerolasmischief sr psa.jpg,PSA-黑殼,,PSA-黑殼,835,Acerolasmischief sr psa.jpg,PSA-黑殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sr,835,Acerolasmischief sr psa.jpg,PSA-金殼,,PSA-金殼,835,Acerolasmischief sr psa.jpg,PSA-金殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sr,835,Acerolasmischief sr psa.jpg,PSA-銀殼,,PSA-銀殼,835,Acerolasmischief sr psa.jpg,PSA-銀殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sr,835,Acerolasmischief sr psa.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sr,835,Acerolasmischief sr psa.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sr,835,Acerolasmischief sr psa.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sar,835,Acerolasmischief sar psa.jpg,PSA-黑殼,,PSA-黑殼,835,Acerolasmischief sar psa.jpg,PSA-黑殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sar,835,Acerolasmischief sar psa.jpg,PSA-金殼,,PSA-金殼,835,Acerolasmischief sar psa.jpg,PSA-金殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sar,835,Acerolasmischief sar psa.jpg,PSA-銀殼,,PSA-銀殼,835,Acerolasmischief sar psa.jpg,PSA-銀殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sar,835,Acerolasmischief sar psa.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sar,835,Acerolasmischief sar psa.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,阿塞蘿拉惡作劇sar,835,Acerolasmischief sar psa.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵sar,835,Megagardevoir sar psa.jpg,PSA-黑殼,,PSA-黑殼,835,Megagardevoir sar psa.jpg,PSA-黑殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵sar,835,Megagardevoir sar psa.jpg,PSA-金殼,,PSA-金殼,835,Megagardevoir sar psa.jpg,PSA-金殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵sar,835,Megagardevoir sar psa.jpg,PSA-銀殼,,PSA-銀殼,835,Megagardevoir sar psa.jpg,PSA-銀殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵sar,835,Megagardevoir sar psa.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵sar,835,Megagardevoir sar psa.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵sar,835,Megagardevoir sar psa.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,瑪夏多ar,835,Marshadow ar psa.jpg,PSA-黑殼,,PSA-黑殼,835,Marshadow ar psa.jpg,PSA-黑殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,瑪夏多ar,835,Marshadow ar psa.jpg,PSA-金殼,,PSA-金殼,835,Marshadow ar psa.jpg,PSA-金殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,瑪夏多ar,835,Marshadow ar psa.jpg,PSA-銀殼,,PSA-銀殼,835,Marshadow ar psa.jpg,PSA-銀殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,瑪夏多ar,835,Marshadow ar psa.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,瑪夏多ar,835,Marshadow ar psa.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,瑪夏多ar,835,Marshadow ar psa.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙種子ar,835,Photoroom_20250406_221052 19.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 19.jpg,PSA-黑殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙種子ar,835,Photoroom_20250406_221052 19.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 19.jpg,PSA-金殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙種子ar,835,Photoroom_20250406_221052 19.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 19.jpg,PSA-銀殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙種子ar,835,Photoroom_20250406_221052 19.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙種子ar,835,Photoroom_20250406_221052 19.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙種子ar,835,Photoroom_20250406_221052 19.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙草ar,835,Photoroom_20250406_221052 20.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 20.jpg,PSA-黑殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙草ar,835,Photoroom_20250406_221052 20.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 20.jpg,PSA-金殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙草ar,835,Photoroom_20250406_221052 20.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 20.jpg,PSA-銀殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙草ar,835,Photoroom_20250406_221052 20.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙草ar,835,Photoroom_20250406_221052 20.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,妙蛙草ar,835,Photoroom_20250406_221052 20.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級妙蛙花sar,835,Photoroom_20250406_221052 21.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 21.jpg,PSA-黑殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級妙蛙花sar,835,Photoroom_20250406_221052 21.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 21.jpg,PSA-金殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級妙蛙花sar,835,Photoroom_20250406_221052 21.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 21.jpg,PSA-銀殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級妙蛙花sar,835,Photoroom_20250406_221052 21.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級妙蛙花sar,835,Photoroom_20250406_221052 21.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級妙蛙花sar,835,Photoroom_20250406_221052 21.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵mur,835,Photoroom_20250406_221052 11.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 11.jpg,PSA-黑殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵mur,835,Photoroom_20250406_221052 11.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 11.jpg,PSA-金殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵mur,835,Photoroom_20250406_221052 11.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 11.jpg,PSA-銀殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵mur,835,Photoroom_20250406_221052 11.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵mur,835,Photoroom_20250406_221052 11.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級沙奈朵mur,835,Photoroom_20250406_221052 11.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級路卡利歐mur,835,Photoroom_20250406_221052 7.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 7.jpg,PSA-黑殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級路卡利歐mur,835,Photoroom_20250406_221052 7.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 7.jpg,PSA-金殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級路卡利歐mur,835,Photoroom_20250406_221052 7.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 7.jpg,PSA-銀殼,
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級路卡利歐mur,835,Photoroom_20250406_221052 7.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級路卡利歐mur,835,Photoroom_20250406_221052 7.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M1-超級勇氣/交響樂,,M1-超級勇氣交響樂.jpg,超級路卡利歐mur,835,Photoroom_20250406_221052 7.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,東北皮卡丘,835,Photoroom_20250406_221052 8.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 8.jpg,PSA-黑殼,
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,東北皮卡丘,835,Photoroom_20250406_221052 8.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 8.jpg,PSA-金殼,
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,東北皮卡丘,835,Photoroom_20250406_221052 8.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 8.jpg,PSA-銀殼,
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,東北皮卡丘,835,Photoroom_20250406_221052 8.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,東北皮卡丘,835,Photoroom_20250406_221052 8.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,東北皮卡丘,835,Photoroom_20250406_221052 8.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,廣島皮卡丘,835,Photoroom_20250406_221052 9.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 9.jpg,PSA-黑殼,
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,廣島皮卡丘,835,Photoroom_20250406_221052 9.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 9.jpg,PSA-金殼,
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,廣島皮卡丘,835,Photoroom_20250406_221052 9.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 9.jpg,PSA-銀殼,
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,廣島皮卡丘,835,Photoroom_20250406_221052 9.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,廣島皮卡丘,835,Photoroom_20250406_221052 9.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,廣島皮卡丘,835,Photoroom_20250406_221052 9.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,福岡皮卡丘,835,Photoroom_20250406_221052 10.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 10.jpg,PSA-黑殼,
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,福岡皮卡丘,835,Photoroom_20250406_221052 10.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 10.jpg,PSA-金殼,
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,福岡皮卡丘,835,Photoroom_20250406_221052 10.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 10.jpg,PSA-銀殼,
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,福岡皮卡丘,835,Photoroom_20250406_221052 10.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,福岡皮卡丘,835,Photoroom_20250406_221052 10.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,福岡皮卡丘,835,Photoroom_20250406_221052 10.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,麥當勞皮卡丘,835,Photoroom_20250406_221052 14.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 14.jpg,PSA-黑殼,
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,麥當勞皮卡丘,835,Photoroom_20250406_221052 14.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 14.jpg,PSA-金殼,
擴散式卡殼,,皮卡丘系列,,皮卡丘系列.jpg,麥當勞皮卡丘,835,Photoroom_20250406_221052 14.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 14.jpg,PSA-銀殼,
